premise,hypothesis,extra,label,generic,concept,hyp_type_pl,reasoning_steps,reasoning_type,extra_type
Birds feed on grain. Bafus are birds.,Bafus feed on grain.,Omnivorous birds are birds. Omnivorous birds feed on grain.,S,Birds feed on grain.,Birds,Bafus,1,S-case,Real
Birds feed on grain. Bafus are birds.,Bafus feed on grain.,Goqs are birds. Goqs feed on grain.,S,Birds feed on grain.,Birds,Bafus,1,S-case,Nonsense
Birds feed on grain. Bafus are birds.,Bafus feed on grain.,Birds of prey such as hawks and eagles are birds. Birds of prey such as hawks and eagles do not feed on grain.,W,Birds feed on grain.,Birds,Bafus,1,W-case,Real
Birds feed on grain. Bafus are birds.,Bafus feed on grain.,Goqs are birds. Goqs do not feed on grain.,W,Birds feed on grain.,Birds,Bafus,1,W-case,Nonsense
Birds feed on grain. Bafus are birds.,Bafus feed on grain.,Birds feed on nectar.,N,Birds feed on grain.,Birds,Bafus,1,N-prop,Real
Birds feed on grain. Omnivorous birds are birds. Bafus are omnivorous birds.,Bafus feed on grain.,Omnivorous birds feed on grain.,S,Birds feed on grain.,Birds,Bafus,2,S-case,Real
Birds feed on grain. Birds of prey such as hawks and eagles are birds. Bafus are birds of prey such as hawks and eagles.,Bafus feed on grain.,Birds of prey such as hawks and eagles do not feed on grain.,W,Birds feed on grain.,Birds,Bafus,2,W-case,Real
Birds feed on grain. Dofiks are birds. Bafus are Dofiks.,Bafus feed on grain.,Dofiks feed on grain,S,Birds feed on grain.,Birds,Bafus,2,S-case,Nonsense
Birds feed on grain. Dofiks are birds. Bafus are Dofiks.,Bafus feed on grain.,Dofiks do not feed on grain,W,Birds feed on grain.,Birds,Bafus,2,W-case,Nonsense
Peregrine falcons have wings. A Yeb is a peregrine falcon.,A Yeb has wings.,A peregrine falcon is a peregrine falcon. A peregrine falcon (falco peregrinus) have wings.,S,Peregrine falcons have wings.,Peregrine falcons,Yebs,1,S-case,Real
Peregrine falcons have wings. A Yeb is a peregrine falcon.,A Yeb has wings.,A Wumox is a peregrine falcon. A Wumox (falco peregrinus) have wings.,S,Peregrine falcons have wings.,Peregrine falcons,Yebs,1,S-case,Nonsense
Peregrine falcons have wings. A Yeb is a peregrine falcon.,A Yeb has wings.,Peregrine falcons that are very young and have not yet grown their wings are peregrine falcons. Peregrine falcons that are very young and have not yet grown their wings do not have wings.,W,Peregrine falcons have wings.,Peregrine falcons,Yebs,1,W-case,Real
Peregrine falcons have wings. A Yeb is a peregrine falcon.,A Yeb has wings.,A Wumox is a peregrine falcon. Wumoxes do not have wings.,W,Peregrine falcons have wings.,Peregrine falcons,Yebs,1,W-case,Nonsense
Peregrine falcons have wings. A Yeb is a peregrine falcon.,A Yeb has wings.,Peregrine falcons have beaks.,N,Peregrine falcons have wings.,Peregrine falcons,Yebs,1,N-prop,Real
Peregrine falcons have wings. A peregrine falcon is a peregrine falcon. A Yeb is a peregrine falcon.,A Yeb has wings.,A peregrine falcon (falco peregrinus) have wings.,S,Peregrine falcons have wings.,Peregrine falcons,Yebs,2,S-case,Real
Peregrine falcons have wings. Peregrine falcons that are very young and have not yet grown their wings are peregrine falcons. Yebs are peregrine falcons that are very young and have not yet grown their wings.,A Yeb has wings.,Peregrine falcons that are very young and have not yet grown their wings do not have wings.,W,Peregrine falcons have wings.,Peregrine falcons,Yebs,2,W-case,Real
